,index,title,description,img,cleand_title,location,Specialties,Delivery / Pick-up,Halal Status,Less Sweet,IG,Email,Website
108,156,Battercloud (Woodlands),"Cakes, Cookies & Biscuits, Pies & Tarts, Festive Baked Goods (Ramadan, Chinese New Year, Christmas and more)
Brownies
Baked fresh in limited quantities, our brownies and sweet treats are perfect for every occasion. 100% Muslim owned and open for pre-orders with at least 3 days lead time.
Reach us via our IG : @battercloud
HalalDelivery/Self Pick-upEmail:
battercloud@gmail.comIG:
@battercloudFB:
Battercloud for every storm","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Battercloud,Woodlands,"Cakes, Cookies & Biscuits, Pies & Tarts, Festive Baked Goods (Ramadan, Chinese New Year, Christmas and more)",Delivery / Self Pick-up,No,No,@battercloud,battercloud@gmail.com,
109,157,Shugarspicebakes (Paya Lebar),"Cupcakes, Cookies & Biscuits, Bread, Brownies
Shugar, Spice & everything nice! Spice makes amazing bakes while Shugar loves to eat (but lazy). If Shugar can do it, so can you! Let's knead & roll :)
We specialise in Annyeong Cream Cheese Garlic Buns (Bake Kit format as it is best served warm from the oven!), assorted cookies and cupcakes! Find out more via our order page - https://take.sg/s/6596513859
Check out how we prepare easy and fuss-free cream cheese garlic buns via this link - https://www.instagram.com/tv/CEV_GzrHBkc/
Less sweetDelivery/Self Pick-upBy preorder only, check out our website for detailsWebsite:
https://take.sg/s/6596513859Email:
shugarspicebakes@gmail.comIG:
@shugarspicebakesFB: Shugarspicebakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Shugarspicebakes,Paya Lebar,"Cupcakes, Cookies & Biscuits, Bread, Brownies",Delivery / Self Pick-up,No,Yes,@shugarspicebakes,shugarspicebakes@gmail.com,https://take.sg/s/6596513859
110,158,Bearilicious (Toa Payoh),"Cookies & Biscuits, Pastries
Every piece of our cookies is baked with much love and passion. Always ensuring only the best & quality ones are being produced, freshly baked, carefully selected and deliciously packed.Adhere to the highest possible standard, tailoring our cookies with a healthier choice recipe without compromising the taste and quality.We are known for our chocolatey and fudgy Levain Dark Chocolate Cookies & our beautiful piped Cocoa Butter cookies :)Check out our FB or IG for more.
Less sweetDelivery/Self Pick-upEmail:
bearilicious02@gmail.comIG:
@bearilicious02","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Bearilicious,Toa Payoh,"Cookies & Biscuits, Pastries",Delivery / Self Pick-up,No,Yes,@bearilicious02,bearilicious02@gmail.com,
111,159,August Bakes (Bukit Panjang),"Bread, Sourdough Bread
For us, bread-making is a therapeutic art form. Baked-to order daily in our lovely home kitchen, our bread take at least 18 hours to ferment ensuring a flavourful, gut-friendly and delicious sourdough loaf.Made with four simple ingredients: flour, water, salt and homegrown sourdough starter, we do not use additives or preservatives in any of our bakes.Currently, we are selling the following: (1) Classic Sourdough, (2) Mixed Herbs Sourdough, (3) Seeded Sourdough and (4) Caramelised Onion SourdoughOrder form can be found on August Bakes Facebook and Instagram.We provide islandwide delivery at S$8 (restricted area, Tuas and Sentosa excluded). Orders for $40 and above free delivery. Self-collection is free.
No preservatives & addictives
Less sweetDelivery/Self Pick-upEmail:
Augustbakes29@gmail.comIG: @Augustbakes.sgFB:
August Bakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",August Bakes,Bukit Panjang,"Bread, Sourdough Bread",Delivery / Self Pick-up,No,Yes,@Augustbakes.sg,Augustbakes29@gmail.com,
112,160,Choceatup (Yishun),"Cookies & Biscuits, Brownies
Must have for chocolate lovers- Baa baa bars that are rich and decadent, not for the weak hearted.- Cookies with chocolate (of course!) with just right amount of sweetnessOrder through the order link in bio or DM for queriesSelf-collection at Yishun, delivery flat rate $10 excl Sentosa, Tuas and Changi
Less sweetDelivery/Self Pick-upEmail:
choceatup@gmail.comIG:
@choceatup","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Choceatup,Yishun,"Cookies & Biscuits, Brownies",Delivery / Self Pick-up,No,Yes,@choceatup,choceatup@gmail.com,
113,161,Ash’cluSive Foods (Yishun),"Cupcakes, Bread, Donuts, Party sets / Roti kirai sets
Homebase selling freshly made breads with fillings eg curry chicken/Beef/ Asam pedas beef and Chicken not forgetting our best seller Bonesteak Tulang , We do have Roti kirai sets and party sets as well for small catering minimum up to 150pax
HalalDelivery/Self Pick-upIG: @Ashclusive_foodsFB:
Ash'clusive FoodsCarousell:
ashclusive","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Ash’cluSive Foods,Yishun,"Cupcakes, Bread, Donuts, Party sets / Roti kirai sets",Delivery / Self Pick-up,No,No,@Ashclusive_foods,,
114,162,Oven Full of Love (Queenstown),"Cakes, 
Cupcakes, Cookies & Biscuits, Chocolate Confections, Bread, Pastries, Festive Baked Goods(
Ramadan, Christmas and more),
Fondant Cake Toppers, BrowniesAs a lawyer turned cake artist, I try to bring similar attention to detail to my handcrafted cakes and desserts. Having baked for friends and family for several years, I decided to pursue my passion of baking professionally and began my baking journey more than a decade ago in USA.Having recently relocated from USA, I look forward to delight you with my 'one of a kind' sweet creations. Please contact me at +65 87168903
Egg-free, dairy-free options available
VeganLess sweetDelivery/Self Pick-upEmail:
ovenfulloflove@gmail.comWeb:
https://ovenfulloflove.wixsite.com/sweetdelightsIG:
@ovenfullofloveFB:
Oven Full of Love","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Oven Full of Love,Queenstown,"Cakes,",Delivery / Self Pick-up,No,Yes,@ovenfulloflove,ovenfulloflove@gmail.com,https://ovenfulloflove.wixsite.com/sweetdelights:
115,163,raktahdelights (Serangoon),"Cookies & Biscuits, Jelly Heart Cheesecake
A home-based baker that sells red velvet cookies and jelly heart cheesecakes. Sundays only. Deliveries and self-collection options are available. Delivery charge depends on the location. To order, you may follow raktahdelights in Instagram and drop me a message.
Delivery/Self Pick-upIG:
@raktahdelights","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",raktahdelights,Serangoon,"Cookies & Biscuits, Jelly Heart Cheesecake",Delivery / Self Pick-up,No,No,@raktahdelights,,
116,164,The Monster Bakehaus (Tiong Bahru/Bukit Merah),"Cookies & Biscuits, Brownies, Tiramisu
Self pick-up available / Free delivery for orders above $30 to Tiong Bahru & Tanjong Pagar
Less sweetDelivery/Self Pick-upEmail:
Themonsterbakehaus@gmail.comIG:
@themonsterbakehausCarousell:
@Monstershopalicious","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",The Monster Bakehaus,Tiong Bahru/Bukit Merah,"Cookies & Biscuits, Brownies, Tiramisu",Delivery / Self Pick-up,No,Yes,@themonsterbakehaus,Themonsterbakehaus@gmail.com,
117,165,WhisksbyRonda (Sembawang/Yishun),"Jelly Cakes
Less sweetDelivery/Self Pick-upEmail:
Whisksbyronda@hotmail.comIG: @Whiskbyronda","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",WhisksbyRonda,Sembawang/Yishun,Jelly Cakes,Delivery / Self Pick-up,No,Yes,@Whiskbyronda,Whisksbyronda@hotmail.com,
118,168,Lilac Oak (Marine Terrace),"Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Chinese New Year), Brownies
Housemade (vegan) sweets; your (un)guilty pleasures! 💜
handmade only from plants | all-natural | moo-free a.k.a dairy free | egg free | organic where possible
Orders via https://take.sg/s/6582220018
VeganLess sweetDelivery at $10 flat island-wide. Self-collection from Marine Terrace.Email:
bylilac.oak@gmail.comIG: @lilac.oakFB: Lilac.oak","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Lilac Oak,Marine Terrace,"Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Chinese New Year), Brownies",Delivery / Self Pick-up,No,Yes,@lilac.oak,bylilac.oak@gmail.com,https://take.sg/s/6582220018
119,169,Monsterzwow (Bedok),"Cakes, Birthday Cakes, Wedding Cakes, Festive Baked Goods (Ramadan, Chinese New Year, Christmas and more), Brownies
Honey CornflakesNutella Marble CakeFudge Brownies
HalalDelivery/Self Pick-upIG: @MonsterzwowCarousell: @monsterzwow","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Monsterzwow,Bedok,"Cakes, Birthday Cakes, Wedding Cakes, Festive Baked Goods (Ramadan, Chinese New Year, Christmas and more), Brownies",Delivery / Self Pick-up,No,No,@Monsterzwow,,
120,170,oh.coolynn (Woodlands),"Cookies & Biscuits
Mini bites crunchy chocolate chips!
HalalDelivery/Self Pick-upIG:
@oh.coolynn","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",oh.coolynn,Woodlands,Cookies & Biscuits,Delivery / Self Pick-up,No,No,@oh.coolynn,,
121,171,D'Puffway (Seng Kang),"Cakes,
Pies & Tarts, Bread, Festive Baked Goods (Mooncake), Brownies
Whatsapp 81578372 to order!Self-pickup in Sengkang, delivery available at a fee!
KetoLess sweetDelivery/Self Pick-upEmail:
dpuffway@gmail.comIG: @dpuffwayCarousell:
dpuffway","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",D'Puffway,Seng Kang,"Cakes,",Delivery / Self Pick-up,No,Yes,@dpuffway,dpuffway@gmail.com,
122,172,TheSpringBake (Nee Soon),"Cakes, Cupcakes, Pies & Tarts, Pastries
- About: TheSpringBake is a home-based bakery founded by Mummy Bessie.It all started with simple bakes for her 3 children.With the encouragement of her family, coupled with her strong passion, Mummy Bessie decided to take her baking journey to thenext level.
(Find out more on our IG Story Highlight, ""About Us"")- Menu: Can be found on IG Story Highlight, ""Menu"", on Facebook page as well as in online ordering form (http://tiny.cc/ThespringbakeOrder)- Specialities: Signature Carrot Cake (Customised cakes also available); Event and party catering available (contact us for more information)- Contact info: Direct message on IG/FB; Email to thespringbake@gmail.com- Delivery: Additional charge of $9 flat fee; Free delivery for orders above $100- Self pick-up: Nee Soon, exact address will be sent via email when confirming order- Order instructions: Via online order form (http://tiny.cc/ThespringbakeOrder) - Link can be found on IG profile; Orders to be placed 3-4 days in advance and 5 days in advance for customised cakes
Less sweetDelivery/Self Pick-upEmail:
thespringbake@gmail.comIG:
@thespringbakeFB: TheSpringBake","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",TheSpringBake,Nee Soon,"Cakes, Cupcakes, Pies & Tarts, Pastries",Delivery / Self Pick-up,No,Yes,@thespringbake,thespringbake@gmail.com,http://tiny.cc/ThespringbakeOrder)
123,174,FluffyCrisps (Bedok),"Cookies & Biscuits
Specialises in cookies, delivery flat rate of $5 islandwide, self pick up at Bedok or can be discussed
Delivery/Self Pick-upIG: @fluffycrisps","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",FluffyCrisps,Bedok,Cookies & Biscuits,Delivery / Self Pick-up,No,No,@fluffycrisps,,
124,177,Ugly Bagel SG (Newton/Tiong Bahru/Bishan/Macpherson/Hillview),"Bread, Pastries
Bagels that may not look their best, but taste their best! :)
We bake our bagels fresh and delivery every Monday and Friday.Free deliveries for orders >$30 on Fridays!
Self pick-up available from Newton, Tiong Bahru, Bishan, Macpherson and Hillview.
Less sweetDelivery/Self Pick-upOperations every Monday and FridayWebsite:
https://forms.gle/1teUcpdmwfHcp5jH7Email:
uglybagelsg@gmail.comIG:
@uglybagelsgFB: Ugly Bagel SG","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Ugly Bagel SG,Newton/Tiong Bahru/Bishan/Macpherson/Hillview,"Bread, Pastries",Delivery / Self Pick-up,No,Yes,@uglybagelsg,uglybagelsg@gmail.com,https://forms.gle/1teUcpdmwfHcp5jH7Email:
125,178,98Browny (Kim Tian Road),"98Browny serves family-sized brownies portions for you and your loved ones to indulge in. Delivered straight to your doorstep, without you ever needing to get out.Order now to enjoy some brownies at the comforts of your home!https://forms.gle/vrQ99WLBJKZbGoGD6
All Time Favourite Chocolate Chips Brownies: $20 - 19 x 19 cm (36 pcs)
Payment methods: paylah!/paynow/bank transferHP: 97309011Delivery fees: $8Self collection: Kim tian, tiong bahru area (No delivery fees)Order confirmed after payment received.
Optional topping available: Flaked Sea Salt +$0.50Optional cards available: PM to let me know what you want on the card.
Less sweetDelivery/Self Pick-upSelf Collection @ Kim Tian Road [No Delivery Fees]Delivery @ $8Website:
https://forms.gle/vrQ99WLBJKZbGoGD6IG:
@98brownyFB: 98BrownyCarousell: @98browny","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",98Browny,Kim Tian Road,"98Browny serves family-sized brownies portions for you and your loved ones to indulge in. Delivered straight to your doorstep, without you ever needing to get out.Order now to enjoy some brownies at the comforts of your home!https://forms.gle/vrQ99WLBJKZbGoGD6",Delivery / Self Pick-up,No,Yes,@98browny,,https://forms.gle/vrQ99WLBJKZbGoGD6
126,180,Dolce.Dente (Hougang),"Cakes, Cupcakes, Cookies & Biscuits, Bread, Festive Baked Goods (Ramadan,
Chinese New Year, Christmas and more), Brownies
Bakesales, Corporate, EventsIG: Dolce.DenteSelf Collection @ Hougang FOCDelivery from $3 - $8Change in menu on every bakesales
HalalDelivery/Self Pick-upEmail:
dolce.dentesg@gmail.comIG:
@dolce.dente","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Dolce.Dente,Hougang,"Cakes, Cupcakes, Cookies & Biscuits, Bread, Festive Baked Goods (Ramadan,",Delivery / Self Pick-up,No,No,@Dolce.DenteSelf,dolce.dentesg@gmail.com,
127,185,My C.T.K (Novena),"Chinese carrot cake, glutinous rice and abacus seeds
Chinese carrot cake, glutinous rice and abacus seeds. $70 and abv free delivery
Delivery/Self Pick-up (Self pick-up novena area and nearby mrt station)Email:
sgankk@gmail.comIG: @sgankk","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",My C.T.K,Novena,"Chinese carrot cake, glutinous rice and abacus seeds",Delivery / Self Pick-up,No,No,@sgankk,sgankk@gmail.com,
128,186,Trio(w) SG (Pasir Ris),"Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Ramadan and
Chinese New Year)
Trio(w); amateur home-cook. Not only bakes for you but shares our tips and tricks of baking we’ve learnt along the way. We bake tarts, cookies, cupcakes & cakes! Delivery/self pick-up option is available.DM us on @trio.with to enquire/order! ☺️
Less sweetDelivery/Self Pick-upWebsite:
https://triowith.wordpress.com/IG:
@trio.with","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Trio SG,Pasir Ris,"Cupcakes, Cookies & Biscuits, Pies & Tarts, Pastries, Festive Baked Goods (Ramadan and",Delivery / Self Pick-up,No,Yes,@trio.with,,https://triowith.wordpress.com/:
129,187,Bakelove_sg (Pasir Ris),"Cakes, Festive Baked Goods (Christmas), Matcha Cheesecake
Our burnt cheesecakes come in Original and Matcha, only in 1 size, 7inch, approximately 950g-1kg, good for 6-8pax!Original burnt cheesecake $42Matcha burnt cheesecake $49We are providing free delivery to Pasir Ris/ Tampines area, self pickup will be available from Pasir Ris as well.Please do place your order via ig @bakelove_sg or WhatsApp +65 87221103!

Less sweetDelivery/Self Pick-upWhatsapp: +65 87221103IG: @bakelove_sgFB:
Bakelove_sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Bakelove_sg,Pasir Ris,"Cakes, Festive Baked Goods (Christmas), Matcha Cheesecake",Delivery / Self Pick-up,No,Yes,@bakelove_sg,,
130,188,The Duckery Co. (Bishan/Bedok/Tampines),"Cookies & Biscuits
At The Duckery Co., our cookies are baked with the finest, premium ingredients. We take care of and take pride in what goes into each of our cookies.Our best selling flavours are:- KINDA (hazelnuts and dark chocolate)- YUZO (yuzu and white chocolate)We offer both delivery (island-wide) and self-collection options (at Bishan, Bedok and Tampines).Visit our Instagram page to find out more! (& in case you were wondering, no ducks were harm in the baking!)
Delivery/Self Pick-upEmail:
theduckery.co@gmail.comIG:
@theduckery.coFB: The Duckery Co.","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",The Duckery Co.,Bishan/Bedok/Tampines,Cookies & Biscuits,Delivery / Self Pick-up,No,No,@theduckery.co,theduckery.co@gmail.com,
131,189,That Pink Whisk (Hougang),"Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Brownies
Specialties: A box of treats featuring a variety of bakesContact: Dm @thatpinkwhisk on IGDelivery options: Self Collect/ DeliverySelf Pick-up: Hougang MRTInstructions: Simply fill in the Google form on the link in my bio when preorders open!
Less sweetDelivery/Self Pick-upIG: @thatpinkwhisk","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",That Pink Whisk,Hougang,"Cakes, Cupcakes, Cookies & Biscuits, Pies & Tarts, Brownies",Delivery / Self Pick-up,No,Yes,@thatpinkwhisk,,
132,190,the.mmunchies (Serangoon North Ave 3),"Cookies & Biscuits
Not your typical oat cookie! With additional rice krispies in it, it gives an extra crunch with every bite :D Comes in lots of different flavours~ Do check out and DM @the.mmunchies on Instagram for more deets^^
Less sweetDelivery/Self Pick-up (Serangoon north ave 3)/MeetupsIG:
@the.mmunchies","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",the.mmunchies,Serangoon North Ave 3,Cookies & Biscuits,Delivery / Self Pick-up,No,Yes,@the.mmunchies,,
133,191,Never Been Batter (Hougang St 92),"Cakes, Birthday Cakes, Pastries, Festive Baked Goods (Chinese New Year)
Specialising in egg tarts, Japanese cheesecakes and custard puffs! Orders mainly accepted via DMs/Google form/text (96445200) self pickup/delivery options available, delivery charges do apply.
Delivery/Self Pick-upIG:
@neverbeenbatterFB: Never Been Batter","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Never Been Batter,Hougang St 92,"Cakes, Birthday Cakes, Pastries, Festive Baked Goods (Chinese New Year)",Delivery / Self Pick-up,No,No,@neverbeenbatter,,
134,192,Thisdachio (Tampines East),"Cakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Biscuits
Delivery +$6Best seller: s'mores brownie
Less sweetDelivery/Self Pick-up (near Tam East)IG: @Thisdachio","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Thisdachio,Tampines East,"Cakes, Cookies & Biscuits, Chocolate Confections, Pies & Tarts, Biscuits",Delivery / Self Pick-up,No,Yes,@Thisdachio,,
135,193,Powderpuffs (Bishan),"Pastries, Cracked Custard Puffs
Bringing your dose of Sugar, Spice and Everything Nice through our Custard Cracked Puffs!
Less sweetDelivery/Self Pick-upEmail:
powderpuffs.sg@gmail.comIG: @powderpuffs.sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Powderpuffs,Bishan,"Pastries, Cracked Custard Puffs",Delivery / Self Pick-up,No,Yes,@powderpuffs.sg,powderpuffs.sg@gmail.com,
136,194,On The Rocks (Yio Chu Kang),"Cakes, Cookies & Biscuits, Mango salsa
We are a family run home-based business specialising in small batch cookies and mango salsa! The cookies come in 3 sizes, perfect as snack packs :) The mango salsa is a special family recipe and great as appetisers at parties or an afternoon snack
Delivery/Self Pick-upWebsite:
tinyurl.com/ontherockssgIG:
@ontherocks_sg","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",On The Rocks,Yio Chu Kang,"Cakes, Cookies & Biscuits, Mango salsa",Delivery / Self Pick-up,No,No,@ontherocks_sg,,tinyurl.com/ontherock:
137,195,Ganache In A Cup (Pasir Ris),"Cupcakes, Pastries
BTO (Bake to Order) Menu:
1) Light Cheese Jelly Cake: $3.20/ea2) Chocolate Ganache Cupcake: $3.20/ea (Our Signature, For chocolate lovers)3) Light Cheese Cake Double: $3.80/ea4) Snowy Cream Cheese Cupcake: $3.20/ea5) Orea Cream Cheese Cupcake: $3.80/ea
Delivery:1) $6 for Pasir Ris and Tampines area.2) $8 apply for all other area.3) purchase of $60 and above free delivery for other areas
Contact Details:
1) Whatsapp Link: https://wa.me/6596438525Please contact Xavier at 96438525.
2) We are on Facebook. Add us at: Ganache InaCup
3) We are on IG. Please follow us at: https://instagram.com/ganache_in_a_cup?igshid=18ixqd4w9kr89
HalalLess sweetDelivery/Self Pick-upEmail:
ganacheinacup@gmail.comIG: @ganache_in_a_cupFB:
Ganache InaCupCarousell:
ganacheinacup","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",Ganache In A Cup,Pasir Ris,"Cupcakes, Pastries",Delivery / Self Pick-up,No,Yes,@ganache_in_a_cup,ganacheinacup@gmail.com,https://wa.me/6596438525Please
138,196,BLAWBAKES (Yio Chu Kang),"Cupcakes, Cookies & Biscuits, Bread, Brownies
Contact us at @blawbakesSelfcollection @yck mrtDelivery charges applies based on distance
Less sweetDelivery/Self Pick-upIG:
@blawbakes","https://static.wixstatic.com/media/fad52e_0d845a717d3e4a348ba190cf015385f4~mv2.png/v1/crop/x_259,y_259,w_981,h_981/fill/w_215,h_215,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Green%20and%20White%20Tea%20and%20Cakes%20Logo.png",BLAWBAKES,Yio Chu Kang,"Cupcakes, Cookies & Biscuits, Bread, Brownies",Delivery / Self Pick-up,No,Yes,@blawbakes,,
